#Weapons
#Type;Rarity;ItemName;TexturePath;Description;Damages;
W;U;Croc d'Acier;assets/item/Weapon & Tool/Iron Sword.png;Forgée par les maîtres artisans des royaumes oubliés, cette lame en acier tempérée offre une durabilité exceptionnelle et une précision mortelle. Parfaite pour les guerriers déterminés à affronter les entités les plus redoutables, elle allie puissance brute et finesse tranchante.;15;
W;R;Lame d'Argent Céleste;assets/item/Weapon & Tool/Silver Sword.png;Forgée dans les feux sacrés, la Lame d'Argent Céleste est infusée de la lumière des étoiles. Cette épée divine tranche les ténèbres avec une précision céleste, réservée aux guerriers les plus dignes.;30;
W;L;Lame d'Eternité;assets/item/Weapon & Tool/Golden Sword.png;La Lame de l'Éternité, forgée dans des temps immémoriaux, est la seule épée capable de vaincre les créatures les plus puissantes sur terre. Sa lame scintillante est imprégnée d'une magie ancienne qui transcende le temps, conférant à son porteur un pouvoir inégalé et une destinée légendaire.;100;
W;C;Branche de Sylvain;assets/item/Weapon & Tool/Wooden Sword.png;La Branche de Sylvain, taillée dans le bois sacré des forêts anciennes, est une épée simple mais efficace. Bien que de rareté commune, elle est légère et facile à manier, idéale pour les jeunes guerriers en quête de leurs premières batailles.;5;
W;C;Pioche de l'Explorateur;assets/item/Weapon & Tool/Pickaxe.png;Forgée pour les aventuriers audacieux, la Pioche de l'Explorateur est un outil robuste et polyvalent. Sa tête en acier renforcé permet de fracturer les roches les plus dures, tandis que son manche en bois durci assure une prise en main confortable. Idéale pour les mineurs et les guerriers en quête de trésors cachés.;7;
W;R;Hache de la Forêt Profonde;assets/item/Weapon & Tool/Axe.png;La Hache de la Forêt Profonde, forgée dans les antres mystérieux des bois ancestraux, est un symbole de puissance et de mystère. Sa lame tranchante, taillée dans le bois des arbres séculaires, est imprégnée de l'énergie de la nature elle-même. Cette hache est un compagnon fidèle pour les explorateurs intrépides et les gardiens des secrets de la forêt.;13;
W;C;Marteau de Forgeron;assets/item/Weapon & Tool/Hammer.png;Le Marteau de Forgeron est l'outil indispensable de tout artisan métallurgiste. Forgé avec soin par les mains habiles des forgerons, ce marteau possède une tête en acier solide et un manche en bois résistant. Il est parfait pour façonner le métal brûlant et donner naissance à de nouvelles créations dans l'enclume ardente de la forge.;7;
W;U;Dague de l'Ombre;assets/item/Weapon & Tool/Knife.png;La Dague de l'Ombre est une arme furtive et redoutable, souvent utilisée par les assassins et les espions pour des missions secrètes. Sa lame fine et acérée est forgée dans un alliage sombre et mystérieux, capable de glisser silencieusement à travers les tissus les plus épais sans laisser de trace.;17;
W;R;Bâton de l'Arcane Antique;assets/item/Weapon & Tool/Magic Wand.png;Le Bâton de l'Arcane Antique, un artefact mystique taillé dans un bois rare et orné de runes anciennes, est l'outil essentiel des maîtres des arcanes. Sa présence évoque respect et admiration parmi les adeptes de la magie, car il renferme des connaissances perdues depuis des éons.;35;
W;C;Pelle du Mineur;assets/item/Weapon & Tool/Shovel.png;La Pelle du Mineur est un outil robuste, équipement essentiel des travailleurs des mines. Sa lame en acier et son manche en bois en font un choix fiable pour creuser, déblayer et sécuriser les tunnels souterrains.;3;
W;E;Sceptre de Rubis Ardents;assets/item/Weapon & Tool/Ruby Staff.png;Le Sceptre de Rubis Ardents, une relique de pouvoir incommensurable, est orné de rubis étincelants qui évoquent les flammes des volcans anciens. Forgé dans le feu et enchanté par les plus grands sorciers, il confère à son porteur le contrôle des éléments. Une arme digne des rois et des sorciers, capable de façonner le destin des mondes.;50;
W;E;Bâton de Saphir Céleste;assets/item/Weapon & Tool/Sapphire Staff.png;Ornée de saphirs chatoyants, cette relique évoque la majesté des étoiles. Forgé dans les profondeurs de l'univers, ce bâton confère à son possesseur une autorité céleste, lui permettant de manipuler les forces cosmiques avec une maîtrise sans égale.;50;
W;E;Bâton de l'Éclat d'Émeraude;assets/item/Weapon & Tool/Emerald Staff.png;Le Bâton de l'Éclat d'Émeraude, une relique d'une splendeur inégalée, est orné d'un émeraude d'une pureté cristalline, irradiant une lueur mystique d'une intensité éblouissante. Forgé dans les profondeurs des forêts anciennes, conférant à son porteur une connexion innée avec les forces primordiales de la vie.;50;

#Armors
#Type;Rarity;ItemName;TexturePath;Description;Defense;Speed;Endurance;ArmorType(0=HELMET,1=CHESTPLATE,2=BOOTS);
A;R;Heaume de l'Aigle d'Acier;assets/item/Equipment/Iron Helmet.png;L'Heaume de l'Aigle d'Acier, forgé avec précision par les artisans les plus talentueux, allie la résistance inébranlable de l'acier à l'élégance majestueuse de l'aigle, symbole de noblesse et de vigilance. Porté par les guerriers intrépides sur les champs de bataille.;30;0;0;0;
A;L;Heaume de l'Éternel Roi;assets/item/Equipment/Helm.png;Le Heaume de l'Éternel Roi, une relique d'une grandeur inégalée, incarne la puissance et la majesté des rois ancestraux. Forgé dans les flammes de la forge des dieux et orné de gemmes scintillantes, ce heaume impose le respect à tous ceux qui croisent son chemin. Porté par les monarques légendaires, il est symbole de pouvoir et de destinée.;40;0;0;0;
A;C;Casque du Vagabond Cuirassé;assets/item/Equipment/Leather Helmet.png;Le Casque du Vagabond Cuirassé est une pièce d'équipement humble mais robuste, souvent portée par les aventuriers errants des contrées lointaines. Fabriqué à partir de cuir résistant, ce casque offre une protection de base contre les rigueurs du voyage et les dangers de la vie sur la route.;8;0;0;0;
A;U;Chapeau de sorcier;assets/item/Equipment/Wizard Hat.png;Le Chapeau de la Magie Voilée est une pièce d'équipement mystique, imprégnée de l'énergie des arcanes. Fabriqué à partir de tissus enchanteurs et orné de runes lumineuses, ce chapeau évoque les secrets des arts occultes. Porté par les adeptes de la magie, il confère une aura d'intrigue et de mystère à son porteur.;15;0;0;0;

A;C;Armure du Traqueur Furtif;assets/item/Equipment/Leather Armor.png;L'Armure du Traqueur Furtif est une tenue de cuir légère mais résistante, conçue pour les guerriers agiles qui préfèrent l'approche discrète. Fabriquée à partir de cuir de qualité supérieure, cette armure offre une protection de base contre les attaques ennemies tout en permettant une liberté de mouvement optimale.;15;0;0;1;
A;E;Cuirasse de l'Éclat Éternel;assets/item/Equipment/Iron Armor.png;La Cuirasse de l'Éclat Éternel est une œuvre d'art martiale et une forteresse incarnée. Forgée dans les entrailles des montagnes par les maîtres artisans, elle brille d'un éclat intemporel. Elle confère à son porteur une invincibilité sans égale, prête à défier les hordes les plus imposantes et à conquérir les défis les plus insurmontables.;50;0;0;1;
A;C;Plastron de l'Arbre Ancien;assets/item/Equipment/Wooden Armor.png;Le Plastron de l'Arbre Ancien est une armure légère mais solide, façonnée à partir du bois des arbres séculaires. Taillé avec soin et renforcé par des techniques ancestrales, ce plastron offre une protection essentielle contre les assauts ennemis tout en préservant la mobilité du porteur.;8;0;0;1;
A;U;Bouclier du Protecteur Sylvain;assets/item/Equipment/Wooden Shield.png;Le Bouclier du Protecteur Sylvain est une pièce d'équipement humble mais robuste, taillée dans le bois des arbres anciens. Forgé avec soin par les artisans des forêts, ce bouclier offre une protection fiable contre les assauts ennemis tout en conservant une légèreté qui permet à son porteur de se déplacer avec agilité.;8;0;0;1;
A;R;Écu du Soleil d'Argent;assets/item/Equipment/Iron Shield.png;L'Écu du Soleil d'Argent est une pièce d'armure rare et prestigieuse, façonnée avec soin par les meilleurs artisans de la cité des forges. Forgé dans un alliage rare d'argent et d'acier, ce bouclier brille tel un astre argenté sous les rayons du soleil, renvoyant la lumière avec éclat. Ornée de motifs complexes représentant des symboles solaires.;25;0;0;1;

A;U;Bottes du Voyageur Errant;assets/item/Equipment/Leather Boot.png;Les Bottes du Voyageur Errant sont des chaussures robustes mais souples, conçues pour résister aux rigueurs des voyages les plus périlleux. Fabriquées à partir du cuir le plus fin et renforcées par des coutures solides, ces bottes offrent un équilibre parfait entre confort et protection.;10;0;0;2;
A;R;Bottes du Titan d'Acier;assets/item/Equipment/Iron Boot.png; : Les Bottes du Titan d'Acier sont une œuvre d'art martiale et une forteresse incarnée pour les pieds. Fabriquées à partir d'acier rare et forgées dans les flammes des forges ancestrales, ces bottes incarnent la résilience et la puissance des titans légendaires. Inspirent respect et admiration à ceux qui les portent.;20;0;0;2;

#Others (trucs qui servent à rien mais qui sont cool)
A;C;Bouteille d'eau;assets/item/Potion/Water Bottle.png;La Bouteille d'Eau est un indispensable pour tout aventurier parcourant les contrées sauvages. Fabriquée à partir de verre résistant ou de matériaux durables, elle permet de transporter et de conserver l'eau fraîche et potable pendant de longues périodes. Son design ergonomique et léger en fait un compagnon de voyage pratique;0;0;0;1;
#A;U;Potion Bleue;assets/item/Potion/Blue Potion 3.png;
